,datetime,open,high,low,close,volume
0,2023-06-21 04:29:00,28763.88,28768.0,28762.0,28767.99,17.57947
1,2023-06-21 04:30:00,28767.99,28768.0,28765.9,28765.9,17.0007
2,2023-06-21 04:31:00,28765.9,28768.0,28754.87,28754.88,55.10724
3,2023-06-21 04:32:00,28754.87,28756.0,28753.29,28755.99,18.34936
4,2023-06-21 04:33:00,28756.0,28758.51,28755.99,28758.16,24.52442
5,2023-06-21 04:34:00,28758.17,28758.17,28746.9,28752.0,47.2022
6,2023-06-21 04:35:00,28752.01,28767.0,28752.0,28764.02,32.64145
7,2023-06-21 04:36:00,28764.01,28798.81,28763.09,28785.05,50.9755
8,2023-06-21 04:37:00,28785.05,28785.06,28772.16,28772.17,23.05781
9,2023-06-21 04:38:00,28772.17,28772.17,28766.16,28767.0,21.41568
10,2023-06-21 04:39:00,28766.99,28767.0,28760.43,28760.44,20.62238
11,2023-06-21 04:40:00,28760.44,28760.44,28739.34,28741.36,48.20047
12,2023-06-21 04:41:00,28741.37,28741.37,28728.0,28728.0,36.75338
13,2023-06-21 04:42:00,28728.01,28729.68,28713.05,28721.82,52.44806
14,2023-06-21 04:43:00,28721.82,28725.17,28719.41,28719.41,29.39669
15,2023-06-21 04:44:00,28719.42,28723.13,28718.0,28718.0,40.95212
16,2023-06-21 04:45:00,28718.0,28738.32,28716.09,28734.99,130.75875
17,2023-06-21 04:46:00,28734.98,28745.46,28730.0,28745.13,45.57321
18,2023-06-21 04:47:00,28745.13,28745.14,28745.13,28745.13,4.756
19,2023-06-21 04:48:00,28745.13,28752.54,28745.13,28752.53,12.56238
20,2023-06-21 04:49:00,28752.53,28752.54,28748.0,28749.21,28.82333
21,2023-06-21 04:50:00,28749.22,28752.0,28749.21,28752.0,13.68931
22,2023-06-21 04:51:00,28752.0,28762.23,28751.99,28762.01,26.3877
23,2023-06-21 04:52:00,28762.01,28768.08,28755.75,28756.0,88.7303
24,2023-06-21 04:53:00,28756.01,28756.01,28744.1,28744.1,21.58412
25,2023-06-21 04:54:00,28744.11,28748.75,28744.1,28748.74,19.92183
26,2023-06-21 04:55:00,28748.75,28760.74,28748.74,28760.73,31.86271
27,2023-06-21 04:56:00,28760.74,28774.0,28760.73,28773.99,54.14937
28,2023-06-21 04:57:00,28773.99,28800.0,28770.14,28790.0,75.38422
29,2023-06-21 04:58:00,28790.0,28791.02,28782.0,28791.01,47.84074
30,2023-06-21 04:59:00,28791.01,28800.0,28780.6,28785.53,82.19892
31,2023-06-21 05:00:00,28785.1,28791.5,28774.81,28774.82,27.89664
32,2023-06-21 05:01:00,28774.81,28787.94,28773.55,28787.94,26.4179
33,2023-06-21 05:02:00,28787.94,28787.94,28778.0,28778.01,17.11368
34,2023-06-21 05:03:00,28778.0,28778.01,28778.0,28778.01,6.43361
35,2023-06-21 05:04:00,28778.0,28784.0,28778.0,28783.29,12.96247
36,2023-06-21 05:05:00,28783.29,28783.29,28770.89,28770.89,49.76226
37,2023-06-21 05:06:00,28770.89,28770.9,28770.89,28770.89,9.91577
38,2023-06-21 05:07:00,28770.89,28775.54,28770.89,28775.54,14.44367
39,2023-06-21 05:08:00,28775.54,28775.54,28775.33,28775.33,9.94982
40,2023-06-21 05:09:00,28775.34,28775.42,28775.33,28775.42,12.71335
41,2023-06-21 05:10:00,28775.42,28812.0,28775.41,28802.65,114.32118
42,2023-06-21 05:11:00,28802.65,28812.27,28802.55,28808.01,37.3768
43,2023-06-21 05:12:00,28808.01,28833.27,28802.55,28811.45,68.83637
44,2023-06-21 05:13:00,28811.45,28814.74,28800.3,28814.73,36.27591
45,2023-06-21 05:14:00,28814.74,28826.21,28814.73,28820.01,41.84005
46,2023-06-21 05:15:00,28820.01,28828.82,28820.0,28828.82,31.7141
47,2023-06-21 05:16:00,28828.81,28836.47,28825.5,28829.95,52.33745
48,2023-06-21 05:17:00,28829.94,28832.28,28825.52,28828.06,59.05292
49,2023-06-21 05:18:00,28828.06,28851.0,28828.06,28847.86,70.92256
50,2023-06-21 05:19:00,28847.86,28862.72,28847.86,28862.71,51.54791
51,2023-06-21 05:20:00,28862.72,28865.21,28853.43,28853.44,45.73096
52,2023-06-21 05:21:00,28853.44,28856.82,28839.69,28856.82,35.98771
53,2023-06-21 05:22:00,28856.81,28903.0,28856.81,28882.69,201.07643
54,2023-06-21 05:23:00,28882.7,28882.7,28868.0,28871.01,61.59061
55,2023-06-21 05:24:00,28871.02,28871.02,28868.0,28868.01,36.24925
56,2023-06-21 05:25:00,28868.01,28868.01,28840.96,28843.01,61.72738
57,2023-06-21 05:26:00,28843.02,28857.14,28831.38,28857.13,71.34954
58,2023-06-21 05:27:00,28857.13,28866.0,28856.0,28856.01,21.69951
59,2023-06-21 05:28:00,28856.0,28856.01,28851.28,28851.28,18.93183
60,2023-06-21 05:29:00,28851.29,28852.75,28851.24,28852.65,30.51214
61,2023-06-21 05:30:00,28852.65,28861.27,28852.65,28861.0,55.43088
62,2023-06-21 05:31:00,28861.0,28861.01,28838.37,28838.37,34.33977
63,2023-06-21 05:32:00,28838.38,28838.38,28823.72,28823.72,37.78489
64,2023-06-21 05:33:00,28823.73,28832.0,28810.0,28812.08,70.2464
65,2023-06-21 05:34:00,28812.08,28814.0,28808.11,28808.99,35.4748
66,2023-06-21 05:35:00,28808.99,28816.0,28808.99,28811.98,19.43536
67,2023-06-21 05:36:00,28811.98,28818.22,28811.98,28814.06,20.66011
68,2023-06-21 05:37:00,28814.07,28814.07,28800.0,28800.0,32.13105
69,2023-06-21 05:38:00,28800.0,28802.9,28794.0,28794.01,36.59735
